"CODESTAB","DESCESTAB"
"2464268","HOSPITAL PEDRO CUNHA MENDES"
"2464276","UNIDADE MISTA DO BEQUIMAO"
"2464292","UNIDADE BASICA AVANCADA DE BANANAL"
"2464314","UNIDADE BASICA DE SAUDE SANTA LUZIA"
"2464349","UNIDADE BASICA DE SAUDE VILA DA PAZ"
"2464357","CENTRO DE SAUDE BURITIRANA"
"2464454","UNIDADE MISTA VALDIR MELO"
"2464500","CENTRO DE SAUDE DR BENEDITO CARVALHO"
"2464543","CENTRO DE SAUDE JOSE TORRES EVANGELISTA"
"2464578","CENTRO DE SAUDE JOAQUIM TIMOTEO"
"2464594","HOSPITAL DE REF EST DE ALTA COMPLEXIDADE DR CARLOS MACIEIRA"
"2464667","CS DE GOVERNADOR NEWTON BELLO"
"2464861","CENTRO DE SAUDE BENTO ANTONIO DA SILVA"
"2464896","CENTRO DE SAUDE TIAGO MARQUES"
"2464918","CENTRO DE SAUDE MARIA LIBANIA"
"2464942","UNIDADE SAUDE DA FAMILIA LINDALVA LOPES PEREIRA"
"2464969","UNIDADE MUNICIPAL VALDEMAR DE OLIVEIRA"
"2465027","HOSPITAL MUNICIPAL DE SAO DOMINGOS DE AZEITAO"
"2465043","UNIDADE MISTA DE SAUDE DE BELAGUA"
"2465086","UNIDADE MISTA LUSO ROCHA"
"2465094","UNIDADE DE SAUDE DA BOA ESPERANCA"
"2465108","HOSPITAL MUNICIPAL DE SAO JOAO DO CARU"
"2465124","HOSPITAL MENINO JESUS DE PRAGA"
"2465140","HOSPITAL TOMAZ MARTINS"
"2465159","CASA DE SAUDE SANTO ANTONIO"
"2465256","CENTRO DE SAUDE DJALMA MARQUES"
"2465469","HOSPITAL SESP DE ZE DOCA"
"2465477","CASA DE SAUDE E MATERNIDADE AFONSO BARROS"
"2465485","HOSPITAL SAO FRANCISCO"
"2465523","POSTO DE SAUDE DO QUADRO"
"2465558","POSTO DE SAUDE DE EBENESIA"
"2465574","POSTO DE SAUDE DE NOVA CONQUISTA"
"2465655","HOSPITAL MUNICIPAL DR ZECA MOREIRA"
"2465787","HOSPITAL MUNICIPAL DE COBILANDIA"
"2465825","HOSPITAL GERAL DE LINHARES HGL"
"2465833","HOSPITAL RIO DOCE"
"2466422","UPA II DR JOAO BATISTA DE ALMEIDA NETO"
"2466627","CENTRO DE SAUDE DE IUIU"
"2466694","HOSPITAL MUNICIPAL NOSSA SENHORA DA CONCEICAO"
"2466767","ADAUTO OLIVEIRA DE ALMEIDA"
"2466805","GINOSON"
"2466880","UNIDADE DE SAUDE DA FAMILIA DO JUNCO"
"2466899","PSF DA CAATINGA DO MOURA"
"2466902","UBS NOVO PARAISO"
"2466988","CENTRO DE SAUDE DA MATRIZ"
"2467011","FLAVIO ANTONIO MESQUITA MARQUES"
"2467135","CLINICA SANTA CECILIA"
"2467348","CLINICA SANTA BARBARA"
"2467372","HOSPITAL MUNICIPAL ANTONIO TEXEIRA SOBRINHO"
"2467569","HOSPITAL DE PEQUENO PORTE ANTONIO R DE ARAUJO DUERE"
"2467577","CENTRO DE SAUDE ALQUINO GOMES DA SILVA DE RECURSOLANDIA"
"2467631","HOSPITAL MUNICIPAL DE MIRANORTE"
"2468123","CENTRO DE SAUDE DA COMUNIDADE MARIAZINHA RODRIGUES DA SILVA"
"2468166","PRONTO ATENDIMENTO MUNICIPAL APARECIDA DO RIO NEGRO"
"2468182","PRONTO ATENDIMENTO DE BARROLANDIA"
"2468220","UNIDADE BASICA DE SAUDE MARIA SOCORRO GUIMARAES PEREIRA"
"2468255","UNIDADE DE SAUDE DE MARIANOPOLIS"
"2468263","UNIDADE DE SAUDE ESPERIDIAO REZENDE DA GLORIA DE LAGOA DO TO"
"2468271","HOSPITAL REGIONAL DE PEDRO AFONSO LEONICIO DE SOUSA MIRANDA"
"2468298","PRONTO ATENDIMENTO MUNICIPAL DE NOVO ACORDO"
"2468301","UNIDADE BASICA DE SAUDE DE NOVO ACORDO"
"2468352","UNIDADE BASICA DE SAUDE LAVANDEIRA"
"2468387","UNIDADE DE SAUDE DA FAMILIA PAU DARCO"
"2468506","USF MARIA LOPES PORTO NACIONAL"
"2468603","UNIDADE BASICA DE SAUDE DA FAMILIA CRIXAS"
"2468646","ZILDA PEREIRA DE OLIVEIRA"
"2468689","CENTRO DE SAUDE MARIA BETANIA SANTA FE DO ARAGUAIA"
"2468786","UNIDADE DE SAUDE DA FAMILIA TUPIRATINS"
"2468794","CENTRO DE SAUDE BENEDITO BOTELHO SANTA MARIA"
"2468840","HOSPITAL DE PEQUENO PORTE SENHORA SANTANA SILVANOPOLIS"
"2468867","CENTRO DE SAUDE SAO SALVADOR"
"2468875","UNIDADE DE SAUDE DO RETIRO SAO SALVADOR"
"2468913","UNIDADE BASICA DE SAUDE MADRE PAULINA MARIANOPOLIS"
"2468921","UNIDADE BASICA DE SAUDE DE SUCUPIRA"
"2468972","HOSPITAL REGIONAL DE AUGUSTINOPOLIS"
"2468999","UNIDADE DE SAUDE DA FAMILIA"
"2469111","UNIDADE SAUDE DA FAMILIA I WANDERLANDIA"
"2469138","UNIDADE SAUDE DA FAMILIA II WANDERLANDIA"
"2469154","UNIDADE DE SAUDE DA FAMILIA"
"2469170","CENTRO DE SAUDE RIO DOS BOIS"
"2469189","UNIDADE DE SAUDE DA FAMILIA JUARINA"
"2469227","PRONTO ATENDIMENTO PIRAQUE"
"2469235","UNIDADE DE SAUDE DA FAMILIA EMILIO ANTONIO DE ARAUJO CH NATI"
"2469278","HOSPITAL DE PEQUENO PORTE E MAT TOCANTINS PRESIDENTE KENNEDY"
"2469340","HOSPITAL MUNICIPAL NOSSA SENHORA DA CONCEICAO"
"2469367","PRONTO ATENDIMENTO DE FILADELFIA"
"2469375","PRONTO ATENDIMENTO DE SAO VALERIO DA NATIVIDADE"
"2469448","PRONTO ATENDIMENTO SANTA TEREZA DE PIUM"
"2469499","HOSPITAL DE PEQUENO PORTE DR OSTILIO A ARAUJO DE ARAGUATINS"
"2469502","CENTRO MUNICIPAL DE SAUDE ARAGUATINS"
"2469510","CENTRO DE SAUDE NOVA ARAGUATINS ARAGUATINS"
"2469545","UNIDADE SAUDE DA FAMILIA DE SAO BENTO"
"2469588","CENTRO DE SAUDE DE CARMOLANDIA"
"2469774","CASA DE SAUDE E MATERNIDADE MARIA JOSE DE SOUZA SANTOS"
"2469863","POSTO DE SAUDE DE CANCHE"
"2470020","MATERNIDADE ANA CATARINA"
"2470098","HOSPITAL MUNICIPAL DE ITABERABA"
"2470152","HOSPITAL REGIONAL DE ITABERABA"
"2470349","HOSPITAL SAO LUCAS"
"2470659","UBS VITORIA MARCONDES TERRA ESF JOSE ALVES MARCONDES"
"2470667","HOSPITAL DA SAGRADA FAMILIA"
"2470748","HOSPITAL REGIONAL VICENTINA GOULART"
"2470829","CLIMCIRGO"
"2470837","CLINICA MEDICA SAGRADO CORACAO DE JESUS"
"2470950","POLICLINICA DO CPA I"
"2470993","POLICLINICA DO PLANALTO"
"2471019","POLICLINICA VERDAO"
"2471086","POLICLINICA DO COXIPO"
"2471183","CENTRO DE SAUDE SAO LUCAS"
"2471191","HOSPITAL MUNICIPAL DE CARLINDA ANTONIO MARTINES MARTINES"
"2471205","UNIDADE MISTA DE SAUDE IGNACIO KONOPKA"
"2471248","PSF III MIGUEL GARATTINI"
"2471302","HOSPITAL E MATERNIDADE BOM JESUS"
"2471345","HOSPITAL REGIONAL ALBERT SABIN DE ALTA FLORESTA"
"2471361","POSTO DE SAUDE SANTA RITA"
"2471434","CENTRO MUNICIPAL DE SAUDE DE NOVA CANAA DO NORTE"
"2471531","POSTO DE SAUDE NOVA ALIANCA"
"2471574","HOSPITAL SARA KUBITSCHECK"
"2471582","UNIDADE DE SAUDE DA FAMILIADE NOVA CANAA DO NORTE"
"2471590","HOSPITAL MUNICIPAL DE APIACAS"
"2471604","HOSPITAL MUNICIPAL DE NOVA BANDEIRANTES"
"2471663","HOSPITAL MUNICIPAL DE PARANAITA"
"2471760","CENTRO ODONTOLOGICO DE CAMPO NOVO DO PARECIS CAMPO NOVO"
"2471795","HOSPITAL MUNICIPAL DE BRASNORTE BRASNORTE"
"2471841","POSTO DE SAUDE BOA ESPERANCA BRASNORTE"
"2472139","HOSPITAL DAS CLINICAS VIDA E SAUDE"
"2472201","UBS JARDIM PLANALTO"
"2472244","HOSPITAL ARENAPOLIS ARENAPOLIS"
"2472376","UNIDADE MISTA DE SAUDE DE NOVA OLIMPIA NOVA OLIMPIA"
"2472414","HOSPITAL E MATERNIDADE SANTA ANGELA"
"2472457","HOSPITAL MUNICIPAL DE BARRA DO BUGRES"
"2472678","CENTRO DE SAUDE MARCELO MECCA SEIDLER"
"2472716","HOSPITAL E MATERNIDADE NOVA OLIMPIA NOVA OLIMPIA"
"2472724","HOSPITAL E MATERNIDADE RENATO SUCUPIRA SAPEZAL"
"2472775","PSF ARAGUAIA"
"2472783","HOSPITAL MUNICIPAL DE COCALINHO"
"2472791","HOSPITAL MUNICIPAL CRISTO REI"
"2472821","UNIDADE DE SAUDE DA FAMILIA II"
"2472910","PSF GUARUJA"
"2472937","HOSPITAL DO VALE DO ARAGUAIA"
"2472945","UNIDADE MISTA DE SAUDE"
"2472953","HOSPITAL CANARANA"
"2473046","HOSPITAL REGIONAL DE AGUA BOA"
"2473283","UNIDADE DE PRONTO ATENDIMENTO MARCELINO DE ALMEIDA NETO"
"2473372","UNIDADE DE PRONTO ATENDIMENTO DEP MARCIO MARINHO"
"2473380","HOSP MATERNIDADE DR SADI MENDES MATERNIDADE DO DIVINO AMOR"
"2473496","CENTRO DE SAUDE DE MACAIBA"
"2473518","E S F MANGABEIRA"
"2473550","E S F CAJAZEIRAS"
"2473577","HOSPITAL REGIONAL ALFREDO MESQUITA"
"2473666","UNIDADE MISTA DR RICARDO SIMIONE"
"2473674","UNIDADE DE APOIO AO PSF DO CENTRO"
"2473763","UNIDADE MISTA"
"2473801","UNIDADE INTEGRADA DE SAUDE"
"2473844","HOSPITAL MATERNIDADE ALUISIO ALVES"
"2473909","POSTO DE SAUDE E MATERNIDADE DEBORA FERREIRA"
"2473917","UNIDADE INTEGRADA DE SAUDE"
"2473968","CENTRO DE SAUDE"
"2473976","HOSPITAL GOVERNADOR JOSE VARELA"
"2474026","UNIDADE INTEGRADA DE SAUDE DE PARAZINHO"
"2474042","CENTRO DE SAUDE DE CAICARA DO NORTE"
"2474050","UNIDADE MISTA DE RIO DO FOGO"
"2474131","UNIDADE MISTA DE SAUDE DRA SANDRA LUCIA PEREIRA"
"2474166","CENTRO DE SAUDE DE CAICARA DO RIO DO VENTO"
"2474174","HOSPITAL MUNICIPAL TARGINO SOBRINHO"
"2474220","CENTRO DE SAUDE DE MAXARANGUAPE"
"2474263","CENTRO DE SAUDE CLOVIS AVELINO"
"2474301","HOSPITAL MATERNIDADE DR TEODULO AVELINO"
"2474328","FUNDACAO ANTONIO FERRAZ"
"2474336","MATERNIDADE JOSE VARELA"
"2474425","HOSPITAL MUNICIPAL DE TAIPU"
"2474441","UNIDADE BASICA DE SAUDE DE PEDRA PRETA"
"2474506","HOSPITAL MANOEL LUCAS DE MIRANDA"
"2474514","CENTRO DE SAUDE DE BAIXA DO MEIO"
"2474522","HOSPITAL MATERNIDADE NOSSA SENHORA DA PUREZA"
"2474735","HOSPITAL MATERNIDADE NOEMIA LUCENA"
"2474751","HOSPITAL REGIONAL JOSEFA ALVES GODEIRO JOAO CAMARA RN"
"2474786","UNIDADE MISTA NELSON S DE FARIAS"
"2474859","HOSPITAL MATERNIDADE DE ACARI"
"2474891","CENTRO DE SAUDE DE PRESIDENTE JUSCELINO"
"2474905","HOSPITAL MATERNIDADE DONA TECA"
"2474964","HOSPITAL REGIONAL DR ODILON GUEDES DA SILVA"
"2474972","HOSPITAL MATERNIDADE DR ANTONIO CANDIDO DE MEDEIROS"
"2474999","UNIDADE MISTA TORQUATA LEOPOLDINA DA COSTA"
"2475065","UNIDADE MISTA DE JACANA"
"2475138","HOSPITAL MATERNIDADE ISABEL GOMES DO NASCIMENTO"
"2475146","UNIDADE MISTA EMILIA M DA SILVA"
"2475154","HOSPITAL MATERNIDADE SEVERINO TIBURCIO"
"2475162","CENTRO DE SAUDE DE CAMPO REDONDO"
"2475227","UNIDADE MAT INFANTIL INTEGRADA DE SAO PAULO DO POTENGI"
"2475278","UNIDADE MISTA CLOTILDE SANTINA"
"2475375","UNIDADE DE EMERGENCIA DE BAIA FORMOSA"
"2475464","UNIDADE MISTA DE SAUDE ABILIO CHACON FILHO"
"2475537","MATERNIDADE DE CRUZETA"
"2475618","HOSPITAL MATERNIDADE RITA LEONOR DE MEDEIROS"
"2475847","HOSPITAL MATERNIDADE TEREZINHA LULA DE QUEIROZ SANTOS"
"2475863","UNIDADE DE SAUDE DA FAMILIA JANUNCIO AFONSO"
"2476053","MATERNIDADE SANTA COSTA"
"2476061","HOSPITAL MATERNIDADE ANA BEZERRA DE ALMEIDA"
"2476185","MATERNIDADE DR JOSE MEDEIROS ROCHA"
"2476193","CENTRO DE SAUDE DE JARDIM DO SERIDO"
"2476266","HOSPITAL MATERNIDADE DR RUY MARIZ"
"2476274","HOSPITAL DR CLOVIS AVELINO"
"2476355","HOSPITAL MATERNIDADE MAE PAULA"
"2476398","HOSPITAL MATERNIDADE GARIBALDI ALVES FILHO"
"2476428","CENTRO DE SAUDE DE LAGOA NOVA"
"2476444","HOSPITAL PADRE JOAO MARIA E MATERNIDADE ANANILIA REGINA"
"2476487","HOSPITAL DR MARIANO COELHO"
"2476541","MATERNIDADE MARIA C DE MEDEIROS MARIZ"
"2476649","UNIDADE MISTA DE CARACARAI"
"2476703","UNIDADE MISTA SAO JOAO DA BALIZA"
"2476711","UNIDADE MISTA DE CAROEBE"
"2476738","CENTRO DE SAUDE WALTER GOMES PORTELA"
"2476754","CENTRO DE SAUDE DRA MARIA YANDARA"
"2476827","HOSPITAL DELIO DE OLIVEIRA TUMPINAMBA"
"2476878","CENTRO DE SAUDE DR MILTON CALUMBY TOURINHO"
"2476886","UNIDADE DE SAUDE DA FAMILIA DR ANTONIO VIEIRA NETO"
"2476959","CENTRO DE SAUDE DE CAPELA"
"2476991","CLINICA DE SAUDE DA FAMILIA DR CHRISTTIANNO O DE ALMEIDA"
"2477149","EQUIPE BASICA DE SAUDE SAGRADO CORACAO DE JESUS"
"2477157","UNIDADE DE ALAGAMAR"
"2477440","UNIDADE DE SAUDE DA FAMILIA JAPARATUBA"
"2477505","UNIDADE DE SAUDE DA FAMILIA SAO JOSE DA CAATINGA"
"2477580","CLINICA DE SAUDE DA FAMILIA SANTA LUZIA"
"2477661","HOSPITAL DR PEDRO GARCIA MORENO"
"2477890","USF WILMA MASCARENHAS"
"2477947","HOSPITAL DE RIACHUELO"
"2477955","CENTRO HOSPITALAR DE ASSISTENCIA AO PACIENTE COM DENGUE"
"2477963","CLINICA DE SAUDE DA FAMILIA NOSSA SENHORA DA CONCEICAO"
"2478080","HOSP PUBLICO MUNICIPAL S QUITERIA"
"2478099","CENTRO DE SAUDE OTAVIO LOBO"
"2478277","HOSPITAL SENADOR OZIRES PONTES"
"2478285","CASA DE SAUDE SAO SEBASTIAO"
"2478293","MATERNIDADE E HOSPITAL DR FRANCISCO ARAUJO"
"2478307","UNID MISTA DE URUOCA"
"2478374","UNID MISTA DE MORAUJO"
"2478722","UNIDADE DE PSF III ITATIRA"
"2478730","UNIDADE DE PSF VI LAGOA DO MATO"
"2478765","UBS DOM LUSTOSA SEDE"
"2478773","UNIDADE DE PSF I CACHOEIRA BR"
"2478935","UNIDADE DE PSF II LAGOA DO MATO"
"2478994","HOSP MATERN MAE TOTONHA"
"2479028","CASA DE SAUDE ADILIA MARIA"
"2479192","CENTRO DE SAUDE DE MIRAIMA"
"2479214","HM HOSPITAL DE MESSEJANA DR CARLOS ALBERTO STUDART GOMES"
"2479222","UNIDADE DE SAUDE DA FAMILIA DE HOLANDA"
"2479249","UNIDADE DE SAUDE DA FAMILIA DE BOA ESPERANCA"
"2479281","UNIDADE DE SAUDE DA FAMILIA SEDE I VILA SAO PEDRO"
"2479362","CENTRO DE SAUDE DR OSVALDO MARTINS"
"2479400","HOSP ANA CELESTINO RODRIGUES"
"2479419","HOSP RITA DO VALE REGO"
"2479427","HOSPITAL FERNANDO TELES CAMILO"
"2479435","CENTRO DE SAUDE DE COREAU"
"2479443","UNID BASICA DE SAUDE DE UBAUNA"
"2479478","HOSPITAL MUNICIPAL DR PEDRO DE CASTRO MARINHO"
"2479486","CENTRO DE SAUDE DA FAMILIA ANTONIO GAUDENCIO ANARIO BRAGA"
"2479540","CENTRO DE SAUDE DE ALCANTARAS"
"2479591","UNIDADE BASICA DE SAUDE DE MERUOCA"
"2479621","CENTRO DE SAUDE DA FAMILIA EVANDRO CAMPOS PONTES"
"2479710","UNIDADE MISTA DE SAUDE DE TRAIRI"
"2479818","HOSP MATERN MENINO JESUS DE PRAGA"
"2479850","POSTO DE SAUDE DE SANTA LUZIA"
"2479893","UNID OBSTETRICA DE VARJOTA"
"2479907","HPM HOSPITAL DA POLICIA MILITAR DO CEARA"
"2480026","HOSPITAL DE SAUDE MENTAL DE MESSEJANA"
"2480050","MATERNIDADE QUITERIA DE LIMA"
"2480077","CENTRO DE SAUDE DE PORANGA"
"2480298","CENTRO DE SAUDE DE INDEPENDENCIA"
"2480611","ABCR BARRA DO CEARA"
"2480646","HOSPITAL GERAL DE BREJO SANTO"
"2480654","CASA DE SAUDE NOSSA SENHORA DE FATIMA"
"2481073","HOSPITAL SAO LUCAS"
"2481103","CENTRO REG OFTALM DE CRATEUS"
"2481286","SAMEAC MATERNIDADE ESCOLA ASSIS CHATEAUBRIAND"
"2481413","UNIDADE BASICA DE SAUDE DA COHAB"
"2481626","UBASF MAE JACINTA"
"2481650","UBASF SERENO"
"2481685","UBASF LIBERATA MARIA DA CONCEICAO"
"2482274","VIGILANCIA SANITARIA E AMBIENTAL SER IV"
"2482304","UAPS OLIVEIRA POMBO"
"2482339","HOSPITAL DISTRITAL NOSSA SENHORA DA CONCEICAO"
"2482444","C S F CESAR CALS DE OLIVEIRA"
"2482525","HOSPITAL MUNICIPAL DE LAGUNA CARAPA"
"2482541","UNIDADE DE SAUDE DA FAMILIA URBANA"
"2482789","FUNDACAO HOSPITALAR DE SAUDE MUNICIPAL"
"2482894","HOSPITAL SAO JOAO DE SANTA CRUZ LTDA"
"2483033","HOSPITAL MUNICIPAL NOSSA SENHORA DE LOURDES"
"2483041","HOSPITAL EDUARDO GILENO AMADO BRANDAO"
"2483300","CASA DE SAUDE ANA MEDRADO LUZ"
"2483319","UNIDADE DE RETAGUARDA DE SAUDE DR JAIRO PONTES"
"2483408","HOSPITAL E MATERNIDADE JULIA MAIA"
"2483424","HOSPITAL GERAL DR BENEDITO NEY"
"2483483","UNIDADE DE SAUDE DA FAMILIA PEDRO ALCANTARA MARQUES"
"2483548","HOSPITAL MUNICIPAL LUIZ EDUARDO MAGALHAES"
"2483556","UBSF ALIPIO JOAQUIM DA SILVA QUILOBOLAS"
"2483629","CENTRO DE SAUDE MAE CHICA"
"2483645","UBSF JARDELINA SANTOS"
"2483688","HOSPITAL MUNICIPAL SEBASTIAO MARTINS ALVES"
"2483904","UNIDADE DE SAUDE DE BRACO DO RIO"
"2483920","NASF NUCLEO DE APOIO A SAUDE DA FAMILIA"
"2483939","HOSPITAL MUNICIPAL DE CONCEICAO DA BARRA HMCB"
"2483998","HOSPITAL MATERNIDADE NOSSA SENHORA DE APARECIDA"
"2484048","CASA NOSSA SENHORA DA SAUDE"
"2484072","HOSPITAL MATERNIDADE SAO MATEUS"
"2484269","UMI UNIDADE MISTA DE INTERNACAO"
"2484366","IESPHOSPITAL DE PINHEIROS"
"2484617","HOSPITAL E MATERNIDADE NOSSA SENHORA DAS DORES"
"2484676","FUMATRE"
"2484919","CASA DE SAUDE E MATERNIDADE FREI GALVAO LTDA"
"2484943","HOSPITAL SAO MARCOS"
"2485141","UNIDADE DE SAUDE ANGELO PIASSAROLLI"
"2485249","ASSOCIACAO HOSPITALAR RURAL DE BOA ESPERANCA"
"2485362","AMBULATORIO MUNICIPAL CENTRO MEDICO WALTER SANTOS"
"2485680","SANTA CASA MIS CACH ITAPEMIRIM"
"2485729","HIFA HOSPITAL MATERNO INFANTIL FRANCISCO DE ASSIS"
"2485877","PRONTO ATENDIMENTO DE COBILANDIA"
"2485958","PRONTO ATENDIMENTO DA SERRA"
"2485966","MATERNIDADE CORONEL LEONCIO VIEIRA DE REZENDE"
"2486199","HOSPITAL DORIO SILVA"
"2486687","UNIDADE DE SAUDE DA FAMILIA DE BANDEIRANTES"
"2486725","UNIDADE SAUDE DA FAMILIA DE XAMBIOA"
"2486776","CENTRO MUNICIPAL DE SAUDE CRISTALANDIA"
"2486784","CENTRO MUNICIPAL DE SAUDE FATIMA"
"2486792","HOSPITAL DE PEQUENO PORTE OSVALDO CRUZ ITAGUATINS"
"2486806","UNIDADE BASICA DE SAUDE JAU DO TOCANTINS"
"2486865","UNIDADE DE SAUDE DA FAMILIA DE SANTA ROSA DO TOCANTINS"
"2486911","UNIDADE DE SAUDE DA FAMILIA BREJINHO DE NAZARE"
"2486938","UNIDADE BASICA DE SAUDE DE CAMPOS LINDOS"
"2486946","UNIDADE BASICA DE SAUDE DE ITAPIRATINS"
"2486954","CENTRO DE SAUDE DE AURORA DO TOCANTINS"
"2486989","UNIDADE BASICA DE SAUDE FNS NOVA OLINDA"
"2487039","CENTRO MUNICIPAL DE SAUDE CRISTO REI MATEIROS"
"2487047","UNIDADE BASICA DE SAUDE DE CHAPADA DE AREIA"
"2487055","UNIDADE BASICA DE SAUDE DE LIZARDA"
"2487063","CENTRO DE SAUDE BERNARDO SAYAO"
"2487411","HOSPITAL MATERNIDADE DR JOAO CARLOS MEIRELES PAULILO"
"2487438","HOSPITAL REGIONAL DANTAS BIAO"
"2487489","CENTRO DE SAUDE DE LIVRAMENTO"
"2487616","HOSPITAL MUNICIPAL DE LIVRAMENTO"
"2487640","CS REGIS PACHECO"
"2487756","HOSPITAL SAO VICENTE DE PAULO"
"2490218","HOSPITAL MUNICIPAL WALDECK ORNELLAS"
"2490234","UNIDADE DE SAUDE DA FAMILIA DR HILDEBRANDO XAVIER DA SILVA"
"2490471","HOSPITAL LUIS GONZAGA DA ROCHA"
"2490501","UMS DE CRISTINO CASTRO"
"2490536","UMS DR ELON C DE AGUIAR"
"2490773","HOSPITAL MUNICIPAL ARLINDO BORGES"
"2490781","HOSP LOCAL DONA LOURDES MOTA"
"2490927","UNIDADE SANITARIA CENTRAL"
"2490935","HOSPITAL FELIX DA COSTA GOMES"
"2490943","UNIDADE SANITARIA SAO CRISTOVAO"
"2490994","SECRETARIA MUNICIPAL DE SAUDE E DESENVOLVIMENTO SOCIAL"
"2491001","UNIDADE MUNICIPAL PUBLICA PRONTO ATENDIMENTO"
"2491087","CLINICA DA MULHER E DA CRIANCA"
"2491095","PRONTO ATENDIMENTO MUNICIPAL"
"2491249","HOSPITAL SANTA CRUZ DE CANOINHAS"
"2491311","HOSPITAL MUNICIPAL BOM JESUS"
"2491486","UBS KM 60"
"2491710","HOSPITAL NOSSA SENHORA DA CONCEICAO"
"2492342","HOSPITAL PADRE MATHIAS MARIA STEIN"
"2492466","UNIDADE BASICA DE SAUDE DE PIUM"
"2492520","UNIDADE DE SAUDE DA FAMILIA TAQUARUSSU"
"2492555","UNIDADE DE PRONTO ATENDIMENTO SUL"
"2492881","HOSPITAL MUNICIPAL JULIETA SAMPAIO"
"2492903","UNIDADE SAUDE DA FAMILIA CLEMENCEAU TEIXEIRA"
"2492911","HOSPITAL SAO PEDRO DE MACARANI"
"2492954","CENTRO DE SAUDE DR WILSON VIEIRA DANTAS"
"2493195","HOSPITAL MUNICIPAL SAO GERALDO"
"2493268","UNIDADE MISTA DE SAUDE DE MACURURE"
"2493284","CASA DE PARTO MARIA DINA DE ALMEIDA"
"2493292","POSTO DE SAUDE DE CACIMBA DE SAO GONCALO"
"2493330","HOSPITAL DR ALBINO LEITAO"
"2493500","PRONTO ATENDIMENTO GERAL DE MARAU"
"2493519","UNIDADE DE SAUDE DA FAMILIA DE BARRA GRANDE"
"2493535","CASA DE PARTO OLAVO GALVAO DE CASTRO"
"2493578","HOSPITAL MATERNIDADE MUNICIPAL DE MAIQUINIQUE"
"2493632","POSTO DE SAUDE DA FAMILIA IMBASSAI"
"2493691","UNIDADE SAUDE DA FAMILIA MARIA OLIMPIA DA SILVA MAGALHAES"
"2493705","UNIDADE DE SAUDE DA FAMILIA ANA MARIA DA SILVA"
"2493721","CENTRO DE SAUDE DE MALHADA DE PEDRAS"
"2493829","CLINICA E MATERNIDADE SAO MATHEUS"
"2493837","POSTO DE SAUDE DE CAMPINHOS"
"2493845","HOSPITAL MANOEL VICTORINO"
"2493888","HOSPITAL JOAO PAULO II PORTO VELHO"
"2494078","PRONTO ATENDIMENTO JOSE ADELINO DA SILVA"
"2494094","UNIDADE DE SAUDE DA FAMILIA DE PALMEIRANTE"
"2494116","U B S I TENENTE SALUSTIANO LEANDRO DE OLIVEIRA"
"2494167","HOSPITAL REGIONAL DE ARAPOEMA"
"2494175","CLINICA DR PEDRO ZANINA"
"2494299","HOSPITAL REGIONAL DE ARIQUEMES"
"2494345","HOSPITAL E MATERNIDADE ALFREDO PINTO SANTANA"
"2494442","HOSPITAL EVANGELICO DE VILA VELHA"
"2494450","HOSPITAL MERIDIONAL"
"2494523","FEMINA HOSPITAL INFANTIL E MATERNIDADE"
"2494833","CENTRO RADIOLOGICO SANTA HELENA LTDA"
"2494906","HOSPITAL E PRONTO SOCORRO MUNICIPAL DE TIMON"
"2494930","CLINICA SAO VICENTE"
"2494949","HOSPITAL PERPETUO SOCORRO"
"2495015","HOSPITAL E PRONTO SOCORRO MUNICIPAL DE CUIABA"
"2495228","HOSPITAL MUNICIPAL AMELIO JOAO DA SILVA"
"2495279","HOSPITAL MUNICIPAL JIPARANA"
"2495414","HOSPITAL E MAT EUFRASIA M DA CONCEICAO PRESIDENT MEDICE"
"2495996","CENTRO DE SAUDE DO GARIMPO BOM FUTURO"
"2496046","HOSPITAL MUNICIPAL MATERNO INFANTIL CACOAL"
"2496151","UNIDADE MOVEL MOTOHOME VILHENA"
"2496461","UPA ZONA LESTE"
"2496534","HOSPITAL E MATERNIDADE MUNICIPAL ANA NETA PIMENTA BUENO"
"2496879","HOSPITAL MUNICIPAL DRA LAURA MARIA BRAGA"
"2496887","CENTRO DE SAUDE DE RONDOMINAS"
"2496895","CENTRO DE SAUDE OURO PRETO"
"2497468","HOSPITAL REGIONAL DO PERPETUO SOCORRO GUAJARAMIRIM"
"2497654","HGF HOSPITAL GERAL DE FORTALEZA"
"2498219","CENTRO DE FISIOTERAPIA E REABILITACAO DE MATINA"
"2498227","HOSPITAL MUNICIPAL HERMENEGILDO C DE CASTRO"
"2498286","SEMASA"
"2498294","CENTRO DE SAUDE DE MIGUEL CALMON"
"2498375","PSF DE IBIRANHEM"
"2498413","CLINICA MEDICA MUNICIPAL"
"2498421","HOSPITAL PORTUGUES HOSPITAL PADRE PAULO FELBER"
"2498456","HOSPITAL MUNIPAL DE MILAGRES"
"2498537","CENTRO DE SAUDE DE MIRANGABA"
"2498561","UNIDADE BASICA DE SAUDE TAQUARENDI"
"2498596","UNIDADE DE SAUDE DA FAMILIA SANTO ANTONIO"
"2498731","HOSPITAL MUNICIPAL DE MUNDO NOVO"
"2498790","HOSPITAL AUGUSTA MEDRADO MATTOS"
"2498804","HOSPITAL SAO JOSE"
"2498847","UNIDADE DE SAUDE DA FAMILIA DE CHORO"
"2499029","HOSPITAL E MATERNIDADE ZULMIRA SEDRIN AGUIAR"
